person_list,cluster,vipr_score,vipr_weight,sentiment_score,circulation_size,mention_count,cluster_label
Richard,1.0,-4506.017543859649,639.4035087719299,-7.578947368421052,528302.0175438597,57,Lower Visibility / Negative Tone
Rand Paul,1.0,-6894.3859649122805,658.6842105263158,-10.192982456140351,1241793.5789473683,57,Lower Visibility / Negative Tone
Rob,1.0,-14222.877192982456,844.1052631578947,-11.263157894736842,7856995.859649123,57,Lower Visibility / Negative Tone
Dawn,1.0,-3382.0535714285716,637.2678571428571,-5.017857142857143,139017.7857142857,56,Lower Visibility / Negative Tone
Z.,1.0,-3793.589285714286,585.0357142857143,-6.464285714285714,149074.82142857142,56,Lower Visibility / Negative Tone
Terry,1.0,-4603.767857142857,592.625,-4.25,1213765.4285714286,56,Lower Visibility / Negative Tone
Lisa,1.0,-5480.821428571428,656.3214285714286,-11.589285714285714,2470174.964285714,56,Lower Visibility / Negative Tone
Ryan White,1.0,-5932.821428571428,824.7678571428571,-2.4464285714285716,16340074.267857144,56,Lower Visibility / Negative Tone
Hans Kluge,1.0,-6835.732142857143,588.8392857142857,-4.321428571428571,443841.71428571426,56,Lower Visibility / Negative Tone
Francis,1.0,-3677.0185185185187,640.6666666666666,-6.148148148148148,880198.8518518518,54,Lower Visibility / Negative Tone
Celine,1.0,-5181.685185185185,796.3703703703703,-9.666666666666666,705345.1111111111,54,Lower Visibility / Negative Tone
Samuel-Roger Kamba,1.0,-7342.592592592592,705.4444444444445,-7.037037037037037,273776.4259259259,54,Lower Visibility / Negative Tone
Andrea,1.0,-7900.444444444444,708.7222222222222,-9.5,5033480.592592592,54,Lower Visibility / Negative Tone
Marion Koopmans,1.0,-11378.62962962963,683.3148148148148,-14.314814814814815,2209341.092592593,54,Lower Visibility / Negative Tone
Jones,1.0,-559.3962264150944,579.6037735849056,-1.9056603773584906,3581608.962264151,53,Lower Visibility / Negative Tone
Karen Bass,1.0,-1701.7169811320755,486.9811320754717,-4.226415094339623,589515.1886792453,53,Lower Visibility / Negative Tone
Jim Jones,1.0,-1976.7358490566037,590.4716981132076,-4.433962264150943,383148.62264150946,53,Lower Visibility / Negative Tone
Wu,1.0,-4136.490566037736,708.188679245283,-9.132075471698114,2553815.0943396227,53,Lower Visibility / Negative Tone
Thomas,1.0,-4694.358490566037,593.7924528301887,-7.867924528301887,272621.320754717,53,Lower Visibility / Negative Tone
Janette Nesheiwat,1.0,-7287.641509433963,713.1509433962265,-9.69811320754717,3002886.320754717,53,Lower Visibility / Negative Tone
Mark Zuckerberg,1.0,-8045.33962264151,626.1698113207547,-12.30188679245283,104032.32075471699,53,Lower Visibility / Negative Tone
