row_index,tag_name,persons,has_person
156,public_health,"Amna Nawaz, Geoff Bennett, Geoff, Jeffrey Brown, Jason Leon, Macarthur Fellow",1
157,public_health,,0
158,public_health,"Casey Horner, Hochul, Sean Mahar, Indian Tribes, Eligible Core",1
159,public_health,"Thomas Sandgaard, Donald Gregg, Al.",1
160,public_health,"Sanam Ahmed, Donald Trump",1
161,public_health,"Rahul Gupta, Deb Houry, Anne Milgram, Joseph Palamar, Emma Bowman, Martin Kaste",1
162,public_health,"Molly, Heather, Maggie, Maggie Bush, Reid Hellman, Brook, Donald Trump, Fordo, Sean Hannity, Natasha Bertrand, Jesse Trump, John Ratcliffe",1
163,public_health,"Sabin Bass, Gadsden Jefferson, Wakulla, Adam Faurot",1
164,public_health,"Robert Kennedy, Spencer Cox, Lee Zeldin",1
165,public_health,"Austin, Paul Bettencourt, Greg Abbott, Mark Casanova, Antonio Be",1
166,public_health,"Lymphocyte, Lipoprotein Ratios",1
167,public_health,Melissa Mays,1
168,public_health,"Mae Jemison, Beth Behrs, Jessica, Robert Kennedy, Celine",1
169,public_health,"Melissa Dean, Bill Turk",1
170,public_health,"Bryan Richards, Dabbling, Michael Parr, Dana Franzen-Klein, Bald",1
171,public_health,"Colin Patterson, George Michael, Harry Styles, Bono, Valerianderson",1
172,public_health,"Bar Advances, Laurie Davies, R- Dixon, Jesse Gabriel, James Ramos, San Bernardino, Kate Sanchez, R- Westminster, Avelino Valencia, Tom Lackey, R- Palmdale, Blanco Rubio, David Alvarez, Chula Vista, Marc Berman, Palo Bryan, Juan Carrillo, Palmdale Fong, Alhambra Gipson, Alexandra Macedo, R- Visalia, Tina Mckinnor, Stephanie Nguyen, Downey Rodriguez, Chino, Luis Solache, Esmeralda Soria, Greg Wallis, Raul Verdugo, Scott Wiener, Assemblymember Haney, Cruz Avila, Carson Benowitz-Fredericks, Michael Scippa",1
173,public_health,,0
174,public_health,"Oglevee, Tracy Bingham, Veronica, Dorien Wilson, Kim, Countess Vaughn, North Dunbar, Donald Trump, Jay, Cheryl Atkinson, Francis Collins, Robert Kennedy, Mark Zuckerberg",1
175,public_health,"Thomas Lingelbach, Richard Hatchett, Joshua Drumm",1
176,public_health,"Explainer-how, Tedros Ghebreyesus, Tedros, Emma Farge, Jennifer Rigby, Gareth Jones",1
177,public_health,"Catholic Bishop, The Front, Tesfaselassie Medhin, Bishop Medhin, Tigray, Adigrat Eparchy, Aci Africa",1
178,public_health,"Robert Kennedy, Hill, Bernie Sanders, John Fetterman, Bernie, Ben Tapper, Vzaabudlpv, Jefferey Jaxen, Donald Trump, Shooter Mcgavin, Shootermcgavin, Rick Scott, Ron Johnson, Markwayne Mullin, Tim Scott, Bobby",1
179,public_health,"Robert Local, Robert Kennedy, Curry, Archuleta, Pueblo",1
180,health_campaign,,0
181,health_campaign,,0
182,public_health,William Schaffner,1
183,public_health,"Aledade, Ahmed Haque, Kerry Pennington",1
184,public_health,"Brandon Johnson, Carla Rivera, Cline Headsmith, Head Speth, Anthony Kazaa, Scott Britton, Carlos Rosa, Shirley Ryan, Jordan Graftman, Bernie Sanders, Chuck Schumer, Graffman, Jb Pritzker, Donald Trump, Letitia James, Casa Puebla",1
185,public_health,"Steve Contorno, Donald Trump, Kamala Harris, Drew Barrymore, Bill Clinton, Jasmine Crockett, Tim Walz, Mcflurry, Barack Obama, Ted Cruz, John Kennedy, Nikki Haley, John Barron, Clemson, Jared Kushner, Filet, Kristen Holmes, Kate Sullivan, Ebony Davis",1
186,public_health,Christy Santhosh,1
187,public_health,Cyanotoxins,1
188,public_health,"Marshall, Donald Trump, Robert Kennedy, Realdonaldtrump, Lady Melaniatrump, H. Dean, Longview’s Lake, Michael Cavazos, Longview Photo, Abilene, Buda, San Marcos, Eric Powell, Adriana Rodriguez, Richard Yeakley",1
